Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Engagement Score,Churn Probability,Risk Tier,Retention Priority Score,Customer Segment,Retention Recommendation
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,3239,2,0.31561741593330706,Medium Risk,1022.2848102079815,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Promote service bundle
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,2701,0,0.3171894184813332,Medium Risk,856.728619318081,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,5372,3,0.4448991864975525,Medium Risk,2389.998429864852,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,5003,4,0.2955171307660999,Low Risk,1478.4722052227978,Loyal Customer,Offer annual plan discount | Offer security package | Provide pricing discount
Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,5340,4,0.12165315116029378,Low Risk,649.6278271959687,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,5925,2,0.2898219939580278,Low Risk,1717.1953142013149,Loyal Customer,Offer annual plan discount | Offer security package | Promote service bundle
Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,5433,2,0.7399674647256977,High Risk,4020.2432358547157,Valuable At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,4832,0,0.23772269122262923,Low Risk,1148.6760439877444,Loyal Customer,Offer annual plan discount | Promote service bundle
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,5789,3,0.22224908147821953,Low Risk,1286.5999326774129,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,2915,1,0.6541440709041182,Medium Risk,1906.8299666855046,Low Engagement At-Risk,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,3022,2,0.4245666788948532,Medium Risk,1283.0405036202465,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,2454,0,0.27956245134802377,Low Risk,686.0462556080503,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Promote service bundle
Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2941,4,0.22952027253110555,Low Risk,675.0191215139814,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,5674,3,0.338127873874014,Medium Risk,1918.5375563611553,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,5586,1,0.3794683463202874,Medium Risk,2119.7101825451255,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Offer security package | Provide pricing discount | Promote service bundle
Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,2966,4,0.1570525217076158,Low Risk,465.8177793847885,Loyal Customer,Offer annual plan discount | Provide free tech support trial | Provide pricing discount
